"run","profile_parameter","parameter_value","likelihood","gradient","SB0","SBfinal","Deplfinal","Nparsonbounds"
"6","NatM_p_1_Mal_GP_1",0.06,1176.25,2.70347e-05,121085,60529.5,0.499891,2
"5","NatM_p_1_Mal_GP_1",0.07,1121.42,0.000222202,144354,83909.7,0.581278,3
"4","NatM_p_1_Mal_GP_1",0.08,1077.12,0.000365202,167306,104040,0.621852,1
"3","NatM_p_1_Mal_GP_1",0.09,1050.41,9.55435e-05,194890,129954,0.666809,0
"2","NatM_p_1_Mal_GP_1",0.1,1035.58,9.49454e-05,226819,161294,0.711112,0
"1","NatM_p_1_Mal_GP_1",0.11,1029.46,0.00444484,270569,205445,0.759306,0
"7","NatM_p_1_Mal_GP_1",0.114146,1031.02,5.52263e-05,295195,230580,0.78111,0
"8","NatM_p_1_Mal_GP_1",0.12,1031.82,0.000509362,337577,274277,0.812489,0
"9","NatM_p_1_Mal_GP_1",0.13,1036.34,0.00446981,442634,382882,0.865007,0
"10","NatM_p_1_Mal_GP_1",0.14,1043.38,9.94249e-05,617345,563486,0.912757,0
